id,bucket,domain,l1_topic,l2_issue,l3_topic,mece_axis,topic_type,timeliness_window,source_basis,notes
T0001,evergreen,跨域,资源分配与不平等,财富与机会分布,贫富差距、教育机会、地区鸿沟,长期结构矛盾,长青母题-跨域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于季度战略选题池
T0002,evergreen,跨域,技术替代与就业重构,效率提升与岗位迁移,AI替代、职业再培训、新工种,长期结构矛盾,长青母题-跨域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于季度战略选题池
T0003,evergreen,跨域,代际关系与家庭结构,婚育、养老与代际支持,晚婚少育、照护成本、代际冲突,长期结构矛盾,长青母题-跨域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于季度战略选题池
T0004,evergreen,跨域,城市化与居住成本,人口流动与住房压力,房价租金、通勤、城市群分化,长期结构矛盾,长青母题-跨域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于季度战略选题池
T0005,evergreen,跨域,教育公平与社会流动,起点差异与上升通道,升学机会、职业教育、阶层流动,长期结构矛盾,长青母题-跨域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于季度战略选题池
T0006,evergreen,跨域,健康焦虑与生命质量,身体与心理双重健康,慢病管理、心理韧性、健康消费,长期结构矛盾,长青母题-跨域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于季度战略选题池
T0007,evergreen,跨域,身份认同与群体冲突,价值观与归属边界,性别议题、代际价值、圈层对立,长期结构矛盾,长青母题-跨域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于季度战略选题池
T0008,evergreen,跨域,风险治理与公共信任,系统性风险与责任边界,监管回应、舆论信任、危机沟通,长期结构矛盾,长青母题-跨域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于季度战略选题池
T0009,evergreen,跨域,增长与可持续平衡,短期收益与长期约束,碳中和、资源约束、绿色转型,长期结构矛盾,长青母题-跨域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于季度战略选题池
T0010,evergreen,跨域,个体意义与幸福追寻,成功叙事与生活满足,职业意义、关系质量、幸福感,长期结构矛盾,长青母题-跨域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于季度战略选题池
T0011,evergreen,商业,效率与成本博弈,降本增效路径,自动化、外包、组织瘦身,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0012,evergreen,商业,定价与价值锚定,用户支付意愿,分层定价、促销策略、价格心理,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0013,evergreen,商业,竞争与护城河,差异化能力构建,品牌、供应链、技术壁垒,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0014,evergreen,商业,信任与品牌声誉,危机与口碑管理,舆情应对、透明沟通、召回机制,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0015,evergreen,商业,供应链韧性,全球波动应对,多源采购、本地化、库存策略,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0016,evergreen,商业,资本配置效率,增长与利润平衡,现金流、投资回报、并购整合,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0017,evergreen,商业,平台规则与生态治理,平台-商家-用户关系,抽佣、公平分发、治理机制,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0018,evergreen,商业,全球化与本地化,跨国扩张策略,文化适配、合规、本土团队,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0019,evergreen,商业,消费代际迁移,需求结构变化,悦己消费、性价比、情绪价值,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0020,evergreen,商业,组织与领导力,决策与执行张力,授权、激励、团队协同,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0021,evergreen,文化,传统与现代张力,价值体系转换,礼俗更新、身份协商,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0022,evergreen,文化,身份认同与归属,群体边界形成,地域认同、族群认同,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0023,evergreen,文化,主流与亚文化互动,文化中心迁移,圈层文化、大众化,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0024,evergreen,文化,语言与话语权,叙事框架竞争,热词演化、议题设置,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0025,evergreen,文化,记忆与遗忘,社会记忆建构,纪念仪式、集体叙事,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0026,evergreen,文化,文化挪用与尊重,跨文化表达边界,引用规范、语境敏感,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0027,evergreen,文化,仪式与世俗化,公共仪式变迁,节庆商业化、仪式重构,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0028,evergreen,文化,媒介生态重塑文化,平台决定分发,短视频化、碎片化阅读,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0029,evergreen,文化,经典与流行之争,审美标准变化,榜单机制、评论共同体,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0030,evergreen,文化,文化资源不均,地区与阶层差异,文化可及性、公共供给,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0031,evergreen,生活,居住与社区质量,住房与通勤压力,租售选择、通勤半径,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0032,evergreen,生活,婚育决策,生育意愿变化,育儿成本、家庭支持,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0033,evergreen,生活,老龄化与照护,照护责任分配,养老方式、护理资源,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0034,evergreen,生活,工作与生活平衡,时间分配冲突,加班、弹性工作、休假,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0035,evergreen,生活,出行与城市便利,交通效率体验,公共交通、城市慢行,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0036,evergreen,生活,饮食安全与健康,食品与营养焦虑,配料表、减脂控糖,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0037,evergreen,生活,数字生活与隐私,便利与监控边界,数据授权、算法推荐,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0038,evergreen,生活,教育与养育方式,家庭教育路径,鸡娃焦虑、素养教育,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0039,evergreen,生活,消费与负债管理,即时满足与长期压力,分期消费、理财习惯,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0040,evergreen,生活,心理韧性与情绪管理,压力社会应对,焦虑、倦怠、关系修复,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0041,evergreen,科学,范式转换,旧理论与新证据冲突,学科革命、跨学科融合,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0042,evergreen,科学,不确定性与可重复性,结论稳健性问题,复现实验、统计偏差,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0043,evergreen,科学,科研伦理边界,可为与不可为,人体实验、基因编辑,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0044,evergreen,科学,基础研究与应用转化,长期投入与短期回报,科研资助、成果转化,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0045,evergreen,科学,开放科学与知识产权,共享与商业保护,开源数据、专利布局,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0046,evergreen,科学,气候与能源转型科学,低碳路径选择,储能、核能、可再生,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0047,evergreen,科学,AI与认知科学,机器智能边界,可解释性、通用智能,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0048,evergreen,科学,生物医学创新,疗效与风险平衡,新药、mRNA、精准医疗,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0049,evergreen,科学,航天与深空探索,探索价值争论,载人任务、资源开发,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0050,evergreen,科学,科学传播与公众信任,专家话语与公众理解,科普误读、谣言治理,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0051,evergreen,艺术,形式与内容关系,审美与表达平衡,叙事、构图、象征,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0052,evergreen,艺术,原创与借鉴边界,创作伦理争议,致敬、抄袭、再创作,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0053,evergreen,艺术,艺术价值与市场价格,审美与资本博弈,拍卖、画廊、藏家,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0054,evergreen,艺术,公共艺术与社区,艺术介入公共空间,城市更新、社区共创,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0055,evergreen,艺术,技术与创作,新媒介改变表达,AI生成、交互艺术,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0056,evergreen,艺术,审查与表达自由,边界与责任,平台规范、创作尺度,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0057,evergreen,艺术,精英艺术与大众艺术,门槛与普及,博物馆教育、短视频传播,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0058,evergreen,艺术,保护与修复,文化遗产延续,修复伦理、数字存档,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0059,evergreen,艺术,艺术劳动与权益,创作者收入结构,版权分成、平台抽成,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0060,evergreen,艺术,艺术与疗愈,情绪与认知影响,艺术治疗、公共健康,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0061,evergreen,政治,权力合法性,治理绩效与认同,民意基础、政策回应,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0062,evergreen,政治,国家与市场边界,公共干预尺度,产业政策、监管强度,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0063,evergreen,政治,安全与自由平衡,治理与权利冲突,隐私、安全、审查,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0064,evergreen,政治,代表性与参与,政治参与渠道,选举、协商、基层参与,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0065,evergreen,政治,再分配与公平,税收与福利设计,贫富差距、社会保障,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0066,evergreen,政治,民族国家与全球治理,主权与协作,国际组织、跨境议题,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0067,evergreen,政治,反腐与问责,权力约束机制,透明治理、监督体系,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0068,evergreen,政治,法治与司法独立,程序正义保障,执法公信、司法改革,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0069,evergreen,政治,政策连续性与变革,短期政治与长期战略,政策摇摆、路径依赖,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0070,evergreen,政治,民粹与制度主义,情绪动员与制度稳定,极化、共识建构,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0071,evergreen,历史,兴衰循环,制度与周期变迁,王朝周期、经济周期,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0072,evergreen,历史,中心与边缘,权力空间重组,都城迁移、区域整合,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0073,evergreen,历史,战争与和平记忆,冲突叙事塑造,纪念、和解、创伤,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0074,evergreen,历史,迁徙与文明交流,人口流动影响,贸易网络、文化融合,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0075,evergreen,历史,瘟疫与社会转型,危机推动制度变化,公共卫生、城市治理,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0076,evergreen,历史,技术革命与历史转折,生产力重塑秩序,工业化、信息化,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0077,evergreen,历史,帝国与民族国家,统治结构更替,殖民、独立、建国,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0078,evergreen,历史,历史解释权争夺,叙事框架竞争,教材、纪念碑、影视,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0079,evergreen,历史,档案与证据政治,史料可得性与偏差,档案开放、口述史,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0080,evergreen,历史,历史经验与路径依赖,过去约束当下,制度惯性、改革成本,领域长期矛盾,长青母题-领域10,长期(>3年),国内外新闻报道与社会现象抽象归纳,用于月度和季度选题储备
T0081,hotspot,跨域,政策制度变动,政策发布与规则调整,法律法规、监管新规、平台规则变更,触发机制,热点分类-MECE10,短中期(1天-3个月),国内外新闻报道与社会现象抽象归纳,用于日更热点选题与快速响应
T0082,hotspot,跨域,公共安全与灾害,突发事故与自然灾害,火灾地震、交通事故、极端天气,风险事件,热点分类-MECE10,短中期(1天-3个月),国内外新闻报道与社会现象抽象归纳,用于日更热点选题与快速响应
T0083,hotspot,跨域,经济金融波动,宏观与市场异动,股债汇波动、就业数据、行业景气,市场信号,热点分类-MECE10,短中期(1天-3个月),国内外新闻报道与社会现象抽象归纳,用于日更热点选题与快速响应
T0084,hotspot,跨域,科技产业突破,技术发布与产业变局,大模型迭代、芯片突破、产品发布会,技术变更,热点分类-MECE10,短中期(1天-3个月),国内外新闻报道与社会现象抽象归纳,用于日更热点选题与快速响应
T0085,hotspot,跨域,公共人物与组织事件,关键人物与机构行为,企业高管变动、名人舆情、机构丑闻,主体行为,热点分类-MECE10,短中期(1天-3个月),国内外新闻报道与社会现象抽象归纳,用于日更热点选题与快速响应
T0086,hotspot,跨域,国际关系与地缘冲突,跨国博弈升级,制裁、冲突、外交谈判、联盟重组,外部冲击,热点分类-MECE10,短中期(1天-3个月),国内外新闻报道与社会现象抽象归纳,用于日更热点选题与快速响应
T0087,hotspot,跨域,公共健康事件,疾病与医疗议题变化,传染病动态、药品供给、医保政策,健康风险,热点分类-MECE10,短中期(1天-3个月),国内外新闻报道与社会现象抽象归纳,用于日更热点选题与快速响应
T0088,hotspot,跨域,文化娱乐与体育热点,文娱赛事与舆论焦点,影视爆款、演唱会、赛事大事件,注意力事件,热点分类-MECE10,短中期(1天-3个月),国内外新闻报道与社会现象抽象归纳,用于日更热点选题与快速响应
T0089,hotspot,跨域,社会价值冲突,伦理与价值观争议,性别议题、教育争议、代际冲突,价值冲突,热点分类-MECE10,短中期(1天-3个月),国内外新闻报道与社会现象抽象归纳,用于日更热点选题与快速响应
T0090,hotspot,跨域,环境与气候事件,生态与气候变化事件,污染事件、极端气候、碳政策进展,生态约束,热点分类-MECE10,短中期(1天-3个月),国内外新闻报道与社会现象抽象归纳,用于日更热点选题与快速响应
